champion,position,win_rate,tier,core_items,hard_counters
Wukong,JUNGLE,50.0,4,"Trinity Force, Sundered Sky, Black Cleaver, Plated Steelcaps, Gustwalker Hatchling","Zyra, Fizz, Ivern, Vladimir, Teemo"
Skarner,JUNGLE,50.0,5,"Heartsteel, Unending Despair, Spirit Visage, Plated Steelcaps, Mosstomper Seedling","Fizz, Evelynn, Zyra, Graves, Lee Sin"
Nidalee,JUNGLE,50.0,5,"Lich Bane, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Scorchclaw Pup","Rammus, Nasus, Sejuani, Kha'Zix, Graves"
Rengar,JUNGLE,49.0,5,"Umbral Glaive, Profane Hydra, Lord Dominik's Regards, Ionian Boots of Lucidity, Gustwalker Hatchling","Nasus, Gwen, Fizz, Lillia, Kha'Zix"
Dr. Mundo,JUNGLE,50.0,4,"Heartsteel, Dead Man's Plate, Spirit Visage, Boots of Swiftness, Gustwalker Hatchling","Zac, Gwen, Fiora, Taliyah, Aatrox"
Gwen,JUNGLE,50.0,4,"Dusk and Dawn, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Gustwalker Hatchling","Master Yi, Singed, Yasuo, Ivern, Karthus"
Zed,JUNGLE,50.0,3,"Hubris, Axiom Arc, Serylda's Grudge, Ionian Boots of Lucidity, Scorchclaw Pup","Nasus, Kayle, Malphite, Fizz, Evelynn"
Pantheon,JUNGLE,50.0,4,"Sundered Sky, Black Cleaver, Guardian Angel, Plated Steelcaps, Scorchclaw Pup","Zoe, Fiddlesticks, Zilean, Anivia, Poppy"
Karthus,JUNGLE,50.0,5,"Blackfire Torch, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Scorchclaw Pup","Naafiri, Rammus, Skarner, Lee Sin, Viego"
Teemo,JUNGLE,51.0,4,"Nashor's Tooth, Liandry's Torment, Malignance, Sorcerer's Shoes, Scorchclaw Pup","Aurora, Cassiopeia, Ornn, Bel'Veth, Rammus"
Gragas,JUNGLE,50.0,4,"Lich Bane, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Gustwalker Hatchling","Ornn, Heimerdinger, Wukong, Zyra, Amumu"
Jayce,JUNGLE,49.0,4,"Youmuu's Ghostblade, Opportunity, Edge of Night, Ionian Boots of Lucidity, Scorchclaw Pup","Olaf, Poppy, Irelia, Sion, Malphite"
Qiyana,JUNGLE,50.0,4,"Profane Hydra, Axiom Arc, Serylda's Grudge, Ionian Boots of Lucidity, Gustwalker Hatchling","Swain, Malphite, Nasus, Warwick, Sejuani"
Malphite,JUNGLE,51.0,3,"Malignance, Stormsurge, Shadowflame, Plated Steelcaps, Gustwalker Hatchling","Dr. Mundo, Swain, Anivia, Kassadin, Galio"
Ahri,MID,51.0,2,"Malignance, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Annie, Zoe, Katarina, Yone, Azir"
Xerath,MID,51.0,2,"Luden's Echo, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Kayle, Sion, Cho'Gath, Elise, Renata Glasc"
Lissandra,MID,52.0,2,"Malignance, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Vel'Koz, Lux, Malphite, Naafiri, Mel"
Katarina,MID,51.0,3,"Kraken Slayer, Blade of The Ruined King, Terminus, Sorcerer's Shoes, Dark Seal","Malphite, Kayle, Cho'Gath, Kalista, Samira"
Malzahar,MID,51.0,3,"Blackfire Torch, Liandry's Torment, Rylai's Crystal Scepter, Sorcerer's Shoes, Doran's Ring","Sion, Aurelion Sol, Kayle, Mel, Yasuo"
Fizz,MID,52.0,3,"Lich Bane, Zhonya's Hourglass, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Sion, Diana, Akshan, Teemo, Gwen"
Vex,MID,53.0,3,"Luden's Echo, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Morgana, Kayle, Swain, LeBlanc, Yasuo"
